number of connections,Single-stream,Multi-stream
1,427.3333333,706.6666667
2,400.6666667,537.5
3,368.1111111,467.6666667
4,360.1666667,407.75
5,363.8,397
6,374.0555556,385.3333333
7,385.0952381,363.7142857
8,379.2083333,315.375
9,336.5185185,346.962963
10,316.2333333,327.1666667
11,287.5151515,292.4848485
12,265.25,271.8611111
13,253.0769231,261.2820513
14,250.6666667,245.452381
15,251.0222222,229.4888889
16,233.9583333,228.8541667
17,229.8627451,214.1764706
18,234.2962963,246.1296296
19,224.7894737,233.0175439
20,211.5333333,245.0833333
21,203.031746,233.9365079
22,202.8030303,228.3484848
23,193.9710145,216.826087
24,187.5277778,208.3888889
25,179.2933333,200.3466667
26,170.0128205,193.2051282
27,166.2839506,186.308642
28,164.9404762,177.4880952
29,162.4482759,174.0229885
30,158.4401434,167.0444444
31,157.2580645,173.5698925
32,156.5239899,168.8958333
33,152.2228164,167.3333333
34,147.6470588,160.2941176
35,144.6857143,155.6857143
36,137.2047047,152.8425926
37,135.4864865,149.036036
38,138.0964912,143.8245614
39,133.8034188,140.1794872
