number of connections,Single-stream,Multi-stream
1,0.029311192,0.042139247
2,0.051841589,0.055181771
3,0.063658851,0.080827019
4,0.078079484,0.085210384
5,0.090692241,0.112021965
6,0.098173839,0.125315886
7,0.123870681,0.135217859
8,0.134501683,0.135217859
9,0.134501683,0.145045355
10,0.140951845,0.147119257
11,0.140951845,0.147119257
12,0.140951845,0.147119257
13,0.149220946,0.152662296
14,0.152541087,0.152662296
15,0.155953414,0.152662296
16,0.155953414,0.158905088
17,0.157942453,0.158905088
18,0.164569209,0.173031773
19,0.164569209,0.173031773
20,0.164569209,0.180749161
21,0.164569209,0.180749161
22,0.168271094,0.183708434
23,0.168271094,0.183708434
24,0.168271094,0.183708434
25,0.168271094,0.183708434
26,0.168271094,0.183708434
27,0.168271094,0.183708434
28,0.170853941,0.183708434
29,0.176872288,0.183708434
30,0.176872288,0.183708434
31,0.184361153,0.189352901
32,0.188470646,0.191890733
33,0.188470646,0.191890733
34,0.188470646,0.191890733
35,0.188470646,0.191890733
36,0.188470646,0.191890733
37,0.188470646,0.191890733
38,0.191860343,0.191890733
39,0.191860343,0.191890733
