Number of Connections,FCFS Single-stream,FCFS Multi-stream,EBS Single-stream,EBS Multi-stream,BS Single-stream,BS Multi-stream
1,0.029311192,0.042139247,0.009782914,0.023112508,0.016678722,0.041132111
2,0.051841589,0.055181771,0.030316698,0.054186076,0.053244565,0.111228025
3,0.063658851,0.080827019,0.0487413,0.087694184,0.078209903,0.160555711
4,0.078079484,0.085210384,0.064439189,0.116156201,0.109957001,0.190310632
5,0.090692241,0.112021965,0.085625877,0.133590732,0.133509568,0.223262593
6,0.098173839,0.125315886,0.104859377,0.153809767,0.157201359,0.25419164
7,0.123870681,0.135217859,0.124288774,0.164103994,0.181480046,0.266822621
8,0.134501683,0.135217859,0.143272867,0.184038713,0.201253429,0.295541428
9,0.134501683,0.145045355,0.157799951,0.197126677,0.212467391,0.343174413
10,0.140951845,0.147119257,0.175337364,0.212475372,0.223414277,0.369391889
11,0.140951845,0.147119257,0.200778559,0.215820242,0.253617456,0.380846447
12,0.140951845,0.147119257,0.215782514,0.223421194,0.273549787,0.390624529
13,0.149220946,0.152662296,0.227019029,0.228116374,0.295811228,0.390624529
14,0.152541087,0.152662296,0.253902926,0.235309039,0.303208908,0.392215552
15,0.155953414,0.152662296,0.267069787,0.251775014,0.31498884,0.393302656
16,0.155953414,0.158905088,0.284878747,0.256391391,0.320632812,0.393302656
17,0.157942453,0.158905088,0.294467638,0.264260237,0.331967997,0.393528527
18,0.164569209,0.173031773,0.303404218,0.273014102,0.342064707,0.396323291
19,0.164569209,0.173031773,0.320031351,0.271619591,0.354653116,0.397234873
20,0.164569209,0.180749161,0.328948671,0.271228323,0.367449126,0.402446769
21,0.164569209,0.180749161,0.332920115,0.266299694,0.379559708,0.405584336
22,0.168271094,0.183708434,0.346355564,0.267228264,0.384873601,0.412220975
23,0.168271094,0.183708434,0.349601209,0.266568779,0.387588889,0.412220975
24,0.168271094,0.183708434,0.355399586,0.270351716,0.391646032,0.417701787
25,0.168271094,0.183708434,0.351719733,0.26695859,0.39300769,0.417701787
26,0.168271094,0.183708434,0.361978051,0.263011546,0.402140536,0.421094198
27,0.168271094,0.183708434,0.364984288,0.264205747,0.403122172,0.421094198
28,0.170853941,0.183708434,0.369971465,0.265260223,0.405725729,0.433789645
29,0.176872288,0.183708434,0.367759431,0.264517841,0.4115192,0.440254532
30,0.176872288,0.183708434,0.368687164,0.265821046,0.414645019,0.445561071
31,0.184361153,0.189352901,0.378709373,0.265392894,0.415268042,0.445561071
32,0.188470646,0.191890733,0.380319325,0.26814089,0.415268042,0.445561071
33,0.188470646,0.191890733,0.382229205,0.26677207,0.420378543,0.452545375
34,0.188470646,0.191890733,0.387729672,0.268235673,0.420378543,0.460676753
35,0.188470646,0.191890733,0.388609195,0.272993722,0.422885622,0.464623224
36,0.188470646,0.191890733,0.38932491,0.27193552,0.422885622,0.464623224
37,0.188470646,0.191890733,0.387036021,0.271335968,0.424170999,0.464623224
38,0.191860343,0.191890733,0.391342835,0.269599783,0.424170999,0.472612879
39,0.191860343,0.191890733,0.397607992,0.269100207,0.424419352,0.472612879
